Distance(mi),Amenity,No_Exit,Station,Sunrise_Sunset,Season,Snow_Ice,Low_Vis_Weather,Rainy,Qty_Slowing_Elements
1.493,0,0,0,0,Winter,0,0,0,0
0.802,0,0,0,0,Winter,1,0,0,0
0.0,0,0,0,1,Winter,0,0,0,2
0.8909999999999999,0,0,0,1,Summer,0,0,0,0
0.0,0,0,0,1,Fall,0,0,1,0
1.173,0,0,0,0,Fall,0,1,0,0
0.214,0,0,0,1,Fall,0,0,0,0
0.0,0,0,0,1,Fall,0,1,0,0
0.0,0,0,0,1,Fall,0,0,0,1
0.22,0,0,0,1,Spring,0,0,0,0
0.0,0,0,1,1,Summer,0,1,0,2
0.204,0,0,0,0,Fall,0,0,1,1
0.024,0,0,0,0,Fall,0,0,1,1
0.473,0,0,0,1,Winter,0,0,0,1
1.279,0,0,0,1,Fall,0,0,1,0
0.1369999999999999,0,0,0,0,Spring,0,0,0,0
0.0,0,0,0,0,Spring,0,0,0,1
0.0,0,0,0,1,Summer,0,0,0,1
0.0099999997764825,0,0,0,1,Spring,0,0,0,0
0.068,0,0,0,1,Winter,0,0,0,0
0.0,0,0,0,1,Fall,0,0,1,0
0.028,0,0,0,0,Fall,0,0,0,0
1.23,0,0,0,1,Spring,0,0,0,0
0.496,0,0,0,1,Fall,0,0,0,0
0.118,0,0,0,0,Winter,0,0,0,0
0.309,0,0,0,1,Winter,1,0,1,0
0.032,0,0,0,0,Fall,0,0,0,0
0.06,0,0,0,1,Winter,0,0,0,0
3.208,0,0,0,1,Summer,0,1,0,0
0.114,0,0,0,1,Winter,0,0,0,1
0.347,0,0,0,1,Summer,0,0,0,0
0.298,0,0,0,1,Summer,0,0,0,0
0.194,0,0,0,1,Winter,0,1,0,0
0.0099999997764825,0,0,0,1,Summer,0,0,0,0
0.43,0,0,0,0,Fall,0,0,0,0
0.011,0,0,0,0,Fall,0,0,0,1
0.055,0,0,0,1,Spring,0,0,0,0
0.0,0,0,0,0,Winter,0,0,1,0
0.0,0,0,0,0,Summer,0,0,0,0
0.0,0,0,0,0,Winter,0,0,0,0
0.615,0,0,0,1,Summer,0,0,0,0
0.0,0,0,0,1,Summer,0,0,0,0
0.106,0,0,0,0,Summer,0,0,0,0
0.01,0,0,0,1,Winter,0,0,0,0
0.087,0,0,0,0,Fall,0,0,1,0
0.0,0,0,0,1,Fall,0,0,0,0
0.969,0,0,0,1,Summer,0,1,0,0
0.198,0,0,1,0,Spring,0,0,0,2
0.0,0,0,0,1,Winter,0,0,0,2
0.0,0,0,0,1,Spring,0,0,0,0
0.0,0,0,0,1,Fall,0,0,0,0
0.0,0,0,0,1,Fall,0,0,0,1
0.0,0,0,0,1,Winter,0,1,0,0
0.315,0,0,0,0,Winter,0,0,0,0
0.116,0,0,0,0,Fall,0,1,1,0
1.93,0,0,0,1,Summer,0,0,1,0
2.874,0,0,0,1,Winter,0,0,0,0
0.0,0,0,0,1,Fall,0,1,0,0
0.357,0,0,0,0,Winter,0,0,0,1
0.1689999999999999,0,0,0,1,Spring,0,0,0,0
0.001,0,0,0,1,Fall,0,1,0,1
0.0,0,0,0,1,Summer,0,0,0,0
0.019,0,0,0,1,Fall,0,0,0,0
0.8420000000000001,0,0,0,1,Summer,0,1,0,0
0.0,0,0,0,1,Fall,0,0,0,0
2.037,0,0,0,1,Spring,0,1,1,1
0.957,0,0,0,0,Winter,0,0,0,0
0.01,0,0,0,0,Spring,0,0,0,1
0.075,0,0,0,1,Fall,0,0,1,0
0.428,0,0,0,0,Winter,0,0,0,1
0.156,0,0,0,1,Winter,0,0,0,0
0.418,0,0,0,0,Winter,0,0,0,1
0.417,0,0,0,0,Spring,0,0,0,1
0.31,0,0,0,1,Winter,0,0,1,0
3.731,0,0,0,1,Summer,0,0,0,0
0.391,0,0,0,0,Winter,0,0,0,0
0.107,0,0,0,0,Summer,0,0,0,0
0.0,0,0,0,1,Summer,0,0,0,0
0.246,0,0,0,1,Summer,0,0,0,1
0.113,0,0,0,0,Winter,0,0,0,0
1.415,0,0,0,1,Fall,0,0,0,0
0.1369999999999999,0,0,0,0,Summer,0,0,1,0
0.01,0,0,0,1,Winter,0,0,0,1
0.0,0,0,0,1,Summer,0,0,0,0
0.229,0,0,0,1,Fall,0,0,1,1
0.01,0,0,0,0,Fall,0,0,0,0
0.025,0,0,0,1,Fall,0,1,0,0
0.0,0,0,0,1,Fall,0,0,0,2
0.625,0,0,0,1,Fall,0,0,0,1
0.01,0,0,0,1,Winter,0,1,0,0
0.0,0,0,0,1,Fall,0,0,0,0
0.0,0,0,0,1,Winter,0,0,0,1
0.0,0,0,0,0,Summer,0,1,0,0
0.0,0,0,0,1,Summer,0,0,0,0
0.033,0,0,0,1,Fall,0,0,0,0
0.904,0,0,0,0,Winter,0,0,0,1
2.207,0,0,0,1,Summer,0,0,0,0
0.575,0,0,0,0,Winter,0,0,0,0
0.0,0,0,0,1,Summer,0,1,0,0
0.0,0,0,0,1,Spring,0,1,0,2
0.0,0,0,0,1,Fall,0,0,1,1
1.94,0,0,0,1,Spring,0,0,0,0
0.272,0,0,0,1,Winter,0,0,0,0
0.0,0,0,0,1,Winter,0,1,0,0
1.912,0,0,0,0,Fall,0,0,0,0
0.0,0,0,0,1,Summer,0,0,0,1
0.187,0,0,0,0,Fall,0,0,0,1
0.821,0,0,0,0,Fall,0,0,0,0
0.422,0,0,0,1,Fall,0,1,1,0
0.162,0,0,0,1,Summer,0,0,0,1
0.01,0,0,0,0,Winter,0,0,0,0
0.0,0,0,0,0,Winter,0,0,0,0
0.0,0,0,1,1,Spring,0,1,1,2
0.114,0,0,0,0,Fall,0,0,0,0
0.01,0,0,0,0,Winter,0,1,0,0
0.0,0,0,0,1,Summer,0,1,0,0
0.01,0,0,0,0,Spring,0,1,0,0
1.135,0,0,0,0,Fall,0,1,0,0
0.0,0,0,0,1,Fall,0,0,0,0
0.31,0,0,0,1,Spring,0,1,0,0
4.812,0,0,0,1,Fall,0,1,0,0
0.0,0,0,0,1,Fall,0,0,0,2
0.417,0,0,0,1,Winter,0,1,0,0
0.293,0,0,0,0,Fall,0,0,0,0
0.171,0,0,0,1,Summer,0,0,0,0
0.611,0,0,0,1,Fall,0,0,0,0
0.403,0,0,0,1,Winter,0,0,0,0
0.026,0,0,0,0,Fall,0,0,0,0
0.016,0,0,0,0,Winter,0,0,1,1
1.366,0,0,0,1,Fall,0,0,0,0
0.0,0,0,0,0,Spring,0,0,0,1
0.0,0,0,0,1,Summer,0,0,0,0
0.0,0,0,0,0,Fall,0,0,0,1
0.298,0,0,0,0,Spring,0,0,0,1
0.01,0,0,0,0,Summer,0,0,0,0
0.054,0,0,0,1,Winter,0,0,1,0
1.503,0,0,0,1,Spring,0,1,0,0
0.0069999999999999,0,0,0,1,Spring,0,1,0,0
0.01,0,0,0,1,Winter,0,1,0,1
0.438,0,0,0,1,Summer,0,0,0,0
0.0,0,0,0,0,Winter,0,0,0,0
0.0,0,0,0,0,Spring,0,0,0,1
0.52,0,0,0,1,Winter,0,0,0,0
0.505,0,0,0,1,Winter,0,0,0,0
0.0,0,0,0,1,Spring,0,0,0,0
0.048,0,0,0,1,Summer,0,0,0,0
0.0,0,0,0,1,Spring,0,1,0,0
0.0,0,0,0,0,Fall,0,0,0,0
0.01,0,0,1,0,Spring,0,1,0,2
0.395,0,0,0,1,Summer,0,0,0,1
0.321,0,0,0,0,Spring,0,0,0,1
